"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"C1074","0","10","40","0","2024","1","","Albuquerque, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",27867,397262,399894,400525,6208316690,3961771041,30806938,1196,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1201,4.5,5920,1.5,6226,1.6,6537,1.7,357340535,6.1,220491227,5.9,1303361,4.4,51,4.5
"C1074","0","10","40","0","2024","2","","Albuquerque, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",27835,403454,405195,405517,6099404459,2543920967,21106349,1159,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",594,2.2,5953,1.5,6297,1.6,6297,1.6,345094402,6.0,126069104,5.2,928457,4.6,48,4.3
"C1074","0","10","40","0","2024","3","","Albuquerque, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",28025,398895,405852,406185,6289786743,1653449209,13656607,1199,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",286,1.0,6711,1.7,6900,1.7,6899,1.7,455452486,7.8,82541553,5.3,954243,7.5,68,6.0
"C1074","0","10","40","0","2024","4","","Albuquerque, NM MSA","Total Covered","10 Total, all industries","MSA, Total Covered","All establishment sizes",28756,407225,407990,406443,6647301238,1201391328,9954914,1256,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",936,3.4,5999,1.5,5044,1.3,2747,0.7,444870652,7.2,53816625,4.7,624293,6.7,71,6.0
"C1074","1","10","41","0","2024","1","","Albuquerque, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",151,14916,14964,14967,369686177,0,0,1902,"",1.05,1.93,1.92,1.93,2.39,0.00,0.00,1.24,"",1,0.7,471,3.3,368,2.5,293,2.0,27231761,8.0,0,0.0,0,0.0,94,5.2
"C1074","1","10","41","0","2024","2","","Albuquerque, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",151,14963,14970,15005,382105312,0,0,1962,"",1.06,1.92,1.92,1.92,2.36,0.00,0.00,1.23,"",1,0.7,175,1.2,132,0.9,128,0.9,16205843,4.4,0,0.0,0,0.0,65,3.4
"C1074","1","10","41","0","2024","3","","Albuquerque, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",152,14910,14844,14767,385985247,0,0,2001,"",1.07,1.91,1.88,1.88,2.13,0.00,0.00,1.13,"",2,1.3,181,1.2,147,1.0,51,0.3,28217851,7.9,0,0.0,0,0.0,131,7.0
"C1074","1","10","41","0","2024","4","","Albuquerque, NM MSA","Federal Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",150,14840,14776,14805,378609921,0,0,1967,"",1.04,1.89,1.88,1.88,2.33,0.00,0.00,1.24,"",-2,-1.3,-89,-0.6,-204,-1.4,-218,-1.5,24611322,7.0,0,0.0,0,0.0,149,8.2
"C1074","2","10","41","0","2024","1","","Albuquerque, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",264,24381,24619,24730,476064858,243786,804,1490,"",1.56,1.99,1.97,1.98,2.48,0.02,0.06,1.25,"",-2,-0.8,1203,5.2,1308,5.6,1342,5.7,51174900,12.0,-101220,-29.3,-335,-29.4,87,6.2
"C1074","2","10","41","0","2024","2","","Albuquerque, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",264,24767,24703,24308,507386529,139197,459,1587,"",1.57,1.97,1.97,1.96,2.45,0.01,0.02,1.25,"",-3,-1.1,1538,6.6,1375,5.9,1363,5.9,51076539,11.2,-41292,-22.9,-137,-23.0,72,4.8
"C1074","2","10","41","0","2024","3","","Albuquerque, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",263,24117,24965,25353,498259461,42938,142,1545,"",1.55,1.96,1.99,1.99,2.26,0.00,0.01,1.14,"",1,0.4,1317,5.8,1330,5.6,1307,5.4,48139482,10.7,3688,9.4,12,9.2,71,4.8
"C1074","2","10","41","0","2024","4","","Albuquerque, NM MSA","State Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",263,25174,25227,25200,533442916,1360,4,1628,"",1.52,1.97,1.97,1.98,2.42,0.00,0.00,1.22,"",-1,-0.4,1438,6.1,1345,5.6,1304,5.5,71964218,15.6,-27603,-95.3,-92,-95.8,139,9.3
"C1074","3","10","41","0","2024","1","","Albuquerque, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",468,38714,39381,39492,588058918,67713760,330986,1154,"",1.16,1.01,1.02,1.02,1.21,1.63,2.10,1.19,"",-4,-0.8,1445,3.9,1693,4.5,1677,4.4,69307336,13.4,6604605,10.8,569,0.2,92,8.7
"C1074","3","10","41","0","2024","2","","Albuquerque, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",465,39552,39853,40924,585889213,51826784,257287,1124,"",1.17,1.02,1.02,1.08,1.08,1.17,2.16,1.04,"",-8,-1.7,1611,4.2,1971,5.2,2708,7.1,53852311,10.1,4181101,8.8,1795,0.7,47,4.4
"C1074","3","10","41","0","2024","3","","Albuquerque, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",465,35704,38764,39520,610831234,32689395,159438,1237,"",1.16,1.07,1.08,1.03,1.21,1.04,1.94,1.14,"",-7,-1.5,1504,4.4,446,1.2,932,2.4,64194830,11.7,2501385,8.3,3173,2.0,102,9.0
"C1074","3","10","41","0","2024","4","","Albuquerque, NM MSA","Local Government","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",467,39758,40579,40149,611653458,16655320,86163,1172,"",1.15,1.02,1.03,1.03,1.12,0.62,1.46,1.09,"",-3,-0.6,1070,2.8,1211,3.1,759,1.9,37699693,6.6,480361,3.0,-1125,-1.3,44,3.9
"C1074","5","10","41","0","2024","1","","Albuquerque, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26984,319251,320930,321336,4774506737,3893813495,30475148,1146,"",0.99,0.94,0.94,0.94,0.89,1.00,0.99,0.94,"",1206,4.7,2801,0.9,2857,0.9,3225,1.0,209626538,4.6,213987842,5.8,1303127,4.5,40,3.6
"C1074","5","10","41","0","2024","2","","Albuquerque, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",26955,324172,325669,325280,4624023405,2491954986,20848603,1094,"",0.99,0.94,0.94,0.94,0.89,1.00,0.99,0.95,"",604,2.3,2629,0.8,2819,0.9,2098,0.6,223959709,5.1,121929295,5.1,926799,4.7,45,4.3
"C1074","5","10","41","0","2024","3","","Albuquerque, NM MSA","Private","10 Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",27145,324164,327279,326545,4794710801,1620716876,13497027,1131,"",0.99,0.94,0.94,0.94,0.89,1.01,1.00,0.95,"",290,1.1,3709,1.2,4977,1.5,4609,1.4,314900323,7.0,80036480,5.2,951058,7.6,59,5.5
